date,sales_id,user_id,total,items
2023-08-28 10:38:40.063986,1,19,6640,"[{'name': 'maan b/pati 10 kg bkt ', 'quantity': 2}]"
2022-04-23 21:54:06.996840,1,36,1966,"[{'name': 'shan tikka seekh kabab 90 gm d/p(62)', 'quantity': 2}, {'name': 'kisan corn oil 2ltr', 'quantity': 3}]"
2023-06-10 21:13:08.484878,1,19,265,"[{'name': 'best food anar dana 100 gm(38)', 'quantity': 1}, {'name': 'citrus mint 10 mg velo 20s(only for jails)(97)', 'quantity': 1}]"
2022-04-18 12:30:40.184921,1,17,689,"[{'name': 'diamond mop well jasmine 1000ml cleaner', 'quantity': 3}, {'name': 'tehwar ajwaien 50 gms (ob-s)', 'quantity': 1}]"
2021-07-23 18:30:26.706994,1,18,36,"[{'name': 'shangril hot sau 120m btl', 'quantity': 1}]"
2021-07-23 09:44:25.750711,1,37,319,"[{'name': 'soya supreme oil 1x5 ltr p/b (for all usc zone except ki)', 'quantity': 1}]"
2021-03-22 21:06:44.206682,1,20,4884,"[{'name': 'mezan ghee 16 kg bkt', 'quantity': 2}, {'name': 'dettol soap100g(2+1) skin/c', 'quantity': 1}]"
2021-05-27 14:49:32.328344,1,3,171,"[{'name': 'ivy refreshing beauty soap 115 gms(27)', 'quantity': 1}, {'name': 'nutty gurr 500 gm', 'quantity': 1}]"
2023-07-25 09:44:56.877120,1,24,1452,"[{'name': 'nangrow 3 350 gm (57)', 'quantity': 2}]"
2023-10-25 16:48:06.969686,1,14,657,"[{'name': 'colgate tooth brush zigzag s0ft cp triple pack save rs.65(05)', 'quantity': 3}]"
2021-06-01 19:42:44.250684,1,21,211,"[{'name': 'dustbin flower s st', 'quantity': 1}, {'name': 'naswar  6 gm pkt (only for jails)(92)', 'quantity': 1}]"
2022-06-26 19:18:32.041928,1,13,3229,"[{'name': 'tumblers clover 280 ml', 'quantity': 1}, {'name': 'super habib c/oil 3ltr btl ', 'quantity': 3}]"
2023-01-31 14:49:05.039386,1,37,1980,"[{'name': 'goldfish ruler 72s card board box (43)', 'quantity': 3}]"
2023-06-21 20:11:16.568121,1,12,822,"[{'name': 'english prickly heat powder junior- medium(41)', 'quantity': 3}]"
2023-08-02 11:39:24.560141,1,10,207,"[{'name': 'h&s 75ml black-b2(10)', 'quantity': 1}]"
2021-06-13 13:47:06.640559,1,4,198,"[{'name': 'pantene a\\condtner 200ml(10)', 'quantity': 1}]"
2023-11-22 14:27:40.065549,1,20,770,"[{'name': 'fish l new 641033', 'quantity': 2}]"
2022-12-07 08:37:32.652487,1,22,255,"[{'name': 'fay executive tis 150,s', 'quantity': 3}]"
2022-08-16 19:09:44.814802,1,35,330,"[{'name': 'cleeno bath room cleaner  500 ml  thick', 'quantity': 2}]"
2023-03-24 11:51:44.246327,1,36,340,"[{'name': 'eva sunflower oil 1x5 ltrp/pouch old code', 'quantity': 1}]"
2022-03-10 17:26:02.468931,1,37,177,"[{'name': 'aghaaz banaspati 1*5 kg (for mn/qa/sr zone)', 'quantity': 1}]"
2021-11-27 10:17:41.612785,1,22,699,"[{'name': 'toot rush syrup 120 ml(75)', 'quantity': 1}, {'name': 'mutton shish /k 960 gm', 'quantity': 1}]"
2023-06-28 08:53:37.012024,1,14,256,"[{'name': 'bio amla shampoo med(31)', 'quantity': 1}, {'name': 'tide soap 1kg(vermicelli', 'quantity': 1}]"
2022-01-01 12:05:06.746749,1,34,1150,"[{'name': 'lumer original 5 kg (detergents powder) (18)', 'quantity': 1}]"
2021-06-28 17:31:23.336021,1,37,1065,"[{'name': 'kofta kabab 340 gm', 'quantity': 3}, {'name': 'roomi flora l/s hanger', 'quantity': 3}]"
2023-08-03 17:48:38.843622,1,20,470,"[{'name': 'naturelle banaspati  1 kg pouch(1a)(pg)', 'quantity': 1}]"
2021-04-03 10:57:46.126542,1,35,5,"[{'name': 'sewing machine belt', 'quantity': 2}]"
2021-08-13 19:19:16.096408,1,17,440,"[{'name': 'shangrilla imli ginger sauce smart pack 400 gm sap(26)', 'quantity': 2}]"
2021-06-18 14:19:10.912363,1,36,556,"[{'name': 'nescafe chilled mocha 200 ml pak(57)', 'quantity': 3}, {'name': 'shan chicken white korma 40 gm (62)', 'quantity': 2}]"
2022-05-18 20:18:58.939838,1,37,590,"[{'name': 'clear shampoo 350 ml', 'quantity': 2}]"
2023-02-13 18:34:33.967857,1,14,158,"[{'name': 'palmolive 330 gm cp saver pack 3 in 1(05)', 'quantity': 1}]"
2022-09-21 20:41:06.098981,1,12,1084,"[{'name': 'kiwi auto shine tube 83 gm(59)', 'quantity': 1}, {'name': 'h/w style shampoo 250 ml', 'quantity': 3}]"
2023-05-23 15:32:47.028300,1,4,462,"[{'name': 'sultan bhunnay channay 100 gm', 'quantity': 2}, {'name': 'kisan sunflower oil 1 ltr', 'quantity': 1}]"
2022-01-27 14:36:02.165397,1,12,404,"[{'name': 'ls green chilli 1 kg (lp)(f-s)', 'quantity': 2}]"
2023-12-19 13:08:54.763220,1,13,939,"[{'name': 'shan karahi/frie gosht masala 45 gm (62)', 'quantity': 3}, {'name': 'shafay salanty 200gm (2a)', 'quantity': 3}]"
2022-08-06 13:14:02.881202,1,12,120,"[{'name': 'bigger apple 1500 ml', 'quantity': 2}]"
2023-11-19 20:46:28.771752,1,5,45,"[{'name': 'sooper elaichi  39.6 gm (14)', 'quantity': 3}]"
2023-10-28 13:19:04.535014,1,4,51,"[{'name': 'vicking insecticide powder 130 gm m/s king enterprises (80)', 'quantity': 1}]"
2021-01-06 10:35:40.199574,1,3,4090,"[{'name': 'andaaz oil 5 ltr tin', 'quantity': 3}, {'name': 'vigo baby mini new born 26 pcs', 'quantity': 2}]"
2023-04-12 13:54:55.907737,1,1,315,"[{'name': 'senobar dish 784', 'quantity': 1}, {'name': 'life style rose water 120 ml(66)', 'quantity': 1}]"
2023-02-07 19:25:54.549991,1,7,1880,"[{'name': 'smackers smokey bbq', 'quantity': 2}, {'name': 'mutton chapli /k 1050 gm', 'quantity': 3}]"
2021-10-10 15:12:16.884784,1,17,1395,"[{'name': 'h toilet rim 50 gm', 'quantity': 3}, {'name': 'v/air freshner lavender', 'quantity': 3}]"
2022-04-14 08:13:32.412516,1,1,220,"[{'name': 'shangrla mix pik 500g', 'quantity': 2}]"
2021-10-16 20:39:54.812867,1,34,1040,"[{'name': 'xtra care baby diaper s size', 'quantity': 2}]"
2023-04-25 15:39:42.665012,1,17,276,"[{'name': 'dastak c/ oil 1x12 pch (1g)', 'quantity': 1}, {'name': 'rex shoe cream tube 7 colour 50 ml', 'quantity': 2}]"
2023-07-20 09:28:06.500338,1,12,650,"[{'name': 'capri toilet soap peach 120 gms x3 (cp (rs.25/-off)(07)', 'quantity': 2}]"
2022-09-25 18:35:40.568078,1,16,248,"[{'name': 'macaroni fancy screw 400 gm bake parlor(59)', 'quantity': 2}]"
2023-12-10 11:35:26.011444,1,12,2601,"[{'name': 'crown masoor whole 250gm(131)(p)', 'quantity': 3}, {'name': 'camera jeep baby diapers eco  s (21)', 'quantity': 1}]"
2022-12-23 10:41:11.162019,1,36,678,"[{'name': 'colgate total fresh strip t past 160 gm (05)', 'quantity': 2}, {'name': 'osem talcum powder-bouquet-m 100 gm (41)', 'quantity': 2}]"
2023-09-25 08:58:03.611741,1,21,840,"[{'name': 'warid-zem-100', 'quantity': 3}, {'name': 'h/w style shampoo 250 ml', 'quantity': 2}]"
2022-03-17 08:12:19.697941,1,35,2,"[{'name': 'kalwanji (black cumin seeds raw) (ob-r)', 'quantity': 2}]"
2021-08-26 12:12:03.635715,1,1,1658,"[{'name': 'sundip mix pickle 1kg', 'quantity': 1}, {'name': 'nestle everyday lite 250 gm(57)', 'quantity': 3}]"
2022-09-12 10:19:18.179900,1,37,601,"[{'name': 'doughstory  plain cake 200 gm (94)', 'quantity': 3}, {'name': 'pakola lychee 500 ml', 'quantity': 1}]"
2021-01-01 08:10:37.434006,1,15,594,"[{'name': 'aghaz banaspati 1*16 kg (for ki zone)', 'quantity': 3}, {'name': 'rave red 400 ml', 'quantity': 3}]"
2023-09-14 10:04:35.665513,1,12,543,"[{'name': 'mug with handle', 'quantity': 2}, {'name': 'am onion 1 kg (lp)(dgk)', 'quantity': 3}]"
2022-07-31 08:14:24.199934,1,11,843,"[{'name': 'wiz general purpose cleaner rose 1000ml bottle (60)', 'quantity': 3}]"
2022-05-16 21:57:57.286096,1,14,1115,"[{'name': 'golden sun c/oil c/ oil 5 ltr btl ', 'quantity': 1}, {'name': 'rose petal car pack 50s(59)', 'quantity': 2}]"
2023-09-17 14:38:16.882128,1,24,595,"[{'name': 'surficol liquid 120 ml (45)', 'quantity': 3}, {'name': 'alexander of paris b/s 150 ml', 'quantity': 2}]"
2023-06-27 16:53:48.705706,1,19,39,"[{'name': 'bunny cookies 85 gms', 'quantity': 1}]"
2023-12-11 09:29:40.344070,1,11,277,"[{'name': 'rose patel regular soft pack 550 s(59)', 'quantity': 1}]"
2022-04-10 19:27:40.410545,1,22,32,"[{'name': 'hari 175 gm for ki/sukkur zones', 'quantity': 1}]"
2021-05-14 20:59:41.572514,1,24,2820,"[{'name': 'hand sanitizer safe hand 500 ml', 'quantity': 3}]"
2021-12-07 20:29:15.440469,1,36,183,"[{'name': 'sindhi masala 100 gm (36)', 'quantity': 1}, {'name': 'peanut passion 22 gm', 'quantity': 1}]"
2022-08-08 12:27:56.517663,1,18,600,"[{'name': 'gastrail plus imlee tab 120,s(75)', 'quantity': 3}]"
2022-01-07 13:34:49.538724,1,5,5774,"[{'name': 'key brand tomato ketchup 1kg', 'quantity': 2}, {'name': 'kashmir canola  oil 3 ltr btl(rmol)(48)', 'quantity': 3}]"
2021-01-07 18:18:56.747674,1,13,1650,"[{'name': 'sucofine table top sweetener 650 tablets', 'quantity': 3}]"
2022-09-12 16:16:12.165998,1,3,25,"[{'name': 'click 23.7 gm (14)', 'quantity': 1}, {'name': 'shino lemo dishwash clean 140 gm', 'quantity': 1}]"
2021-11-25 11:57:01.750518,1,4,725,"[{'name': 'marvelcardmon green 25 gm (63)', 'quantity': 2}, {'name': 'golden chowmein spaghetti 250 gm (32)', 'quantity': 1}]"
2022-07-11 21:16:38.521472,1,12,225,"[{'name': 'euro delux beauty soap milk almond 115 gms(93)', 'quantity': 3}]"
2023-05-23 08:53:22.993174,1,25,612,"[{'name': 'premio bowl s ap', 'quantity': 2}, {'name': 'samosa patti 200 gm', 'quantity': 3}]"
2021-02-01 08:59:08.796906,1,23,469,"[{'name': 'plate 7  qutr white', 'quantity': 2}, {'name': 'shng garlic/c/s 1kg fre g/c 100g', 'quantity': 1}]"
2022-07-08 08:45:45.477341,1,10,1588,"[{'name': 'dove sham dryness care 360 ml(08)', 'quantity': 2}]"
2022-09-24 12:48:15.587962,1,21,117,"[{'name': 'der cheni 50 gm', 'quantity': 3}]"
2023-10-03 11:20:08.254845,1,34,5405,"[{'name': 'dawn fruit bun  90 gm (94)', 'quantity': 1}, {'name': 'mach3 plus cart 8(10)', 'quantity': 2}]"
2023-09-14 09:28:56.772901,1,19,114,"[{'name': 'rolled wheat 250gm (88)', 'quantity': 1}, {'name': 'new atta service charges rs 2 per 20 kg', 'quantity': 2}]"
2023-10-29 15:24:19.622672,1,4,1029,"[{'name': 'gold wash  tube usa 100 ml(55)', 'quantity': 3}]"
2023-02-23 12:25:31.531324,1,14,400,"[{'name': 'serving rice dish blue', 'quantity': 1}]"
2023-09-22 08:21:51.425404,1,11,2310,"[{'name': 'ocean pearl lazzat 5kg ', 'quantity': 3}]"
2022-02-12 08:27:21.945183,1,17,396,"[{'name': 'shng garlic c/s 1 kg igs 250g fre', 'quantity': 2}]"
2022-07-26 19:34:08.507002,1,15,1008,"[{'name': 'nivea body natural fairness cream 100ml(59)', 'quantity': 2}]"
2023-04-17 11:11:10.260608,1,3,2049,"[{'name': 'safeguard lhs classic 250', 'quantity': 3}, {'name': 'cherry white liquid 75 ml(04)', 'quantity': 3}]"
2022-01-04 16:30:25.119502,1,20,150,"[{'name': 'bettani tea 25 gm (rmbt) (1e)', 'quantity': 3}]"
2022-02-02 10:37:26.546838,1,1,174,"[{'name': 'fruit basket st', 'quantity': 3}]"
2022-12-14 14:42:36.158833,1,24,1730,"[{'name': 'warid-zem-250', 'quantity': 2}, {'name': 'tapal f/m 950gm fre try', 'quantity': 2}]"
2023-11-03 15:17:36.085382,1,17,1026,"[{'name': 'caresse naturals hand wash (exclusive gold) 450 ml(95)', 'quantity': 3}]"
2021-11-21 20:10:14.734403,1,23,540,"[{'name': 'eng cheer vege 48.9gm big pch (14)', 'quantity': 3}, {'name': 'pakpal chai patti 80 gm tea soft pack(rmbt)(52)', 'quantity': 3}]"
2021-06-23 15:58:34.484150,1,24,852,"[{'name': 'baison 1 kg (only for jails)(39)', 'quantity': 3}]"
2022-05-14 20:21:02.661762,1,25,695,"[{'name': 'skin naturals bb cream x light 50 ml(79)', 'quantity': 1}]"
2023-12-27 17:21:59.416702,1,1,34,"[{'name': 'shan khatta khatai powder 50 gm(62)', 'quantity': 1}]"
2023-08-08 16:17:21.526664,1,21,110,"[{'name': 'fauji vermicellies rstd', 'quantity': 2}]"
2022-01-20 08:13:02.072679,1,20,10872,"[{'name': 'balty bucket.no 3 super st', 'quantity': 2}, {'name': 'habib ghee 10kg tin ', 'quantity': 3}]"
2021-01-20 10:25:01.283145,1,34,7530,"[{'name': 'brit led bulbs 20 watts (t shape)(25)', 'quantity': 2}, {'name': 'tv 29 25  old usedcolor', 'quantity': 1}]"
2023-01-01 10:17:57.509664,1,34,370,"[{'name': 'macroni salanti 400 gm (39)', 'quantity': 2}]"
2023-11-16 21:28:16.740019,1,25,3080,"[{'name': 'pantene shampoo smooth 400 ml(55)', 'quantity': 3}, {'name': 'shangril mix pick 1kg', 'quantity': 2}]"
2021-09-15 14:33:50.448395,1,34,1269,"[{'name': 'sunslik shampoo long & healty 70ml(55)', 'quantity': 3}, {'name': 'shangrilla mixed pickle 325 gm plastic jar(26)', 'quantity': 3}]"
2021-05-15 19:12:07.121059,1,15,2331,"[{'name': 'mezan tea ultra rich pouch 460 gm(rmbt)(68)', 'quantity': 3}]"
2023-01-24 13:47:21.897092,1,19,707,"[{'name': 'glow&lovely men 25 gms(08)', 'quantity': 3}, {'name': 'sarson ka saag 425 gm (mitchells fruit)(44)', 'quantity': 1}]"
2023-02-23 21:05:28.896453,1,14,503,"[{'name': 'vip talcum f/s pdr tin(09)', 'quantity': 2}, {'name': 'shan ecial kheer mix pista 150 gm (62)', 'quantity': 1}]"
2023-02-10 10:19:37.035563,1,17,109,"[{'name': ""always 3's nights"", 'quantity': 1}]"
2023-04-04 10:49:51.831066,1,12,245,"[{'name': 'dove shampoo(old) 250 ml,', 'quantity': 1}, {'name': 'colgate t brush superstar-s-local(05)', 'quantity': 2}]"
2021-06-10 14:59:17.031020,1,25,5370,"[{'name': 'mach3 plus cart 8(10)', 'quantity': 2}, {'name': 'rio vanila sp 35 gm', 'quantity': 1}]"
2021-09-23 17:57:13.972797,1,14,330,"[{'name': 'ls onion small 1 kg (lp)(f-n)', 'quantity': 3}]"
2023-08-28 08:26:51.854578,1,35,580,"[{'name': 'jazaa red chilli powder 100 gm (1q)', 'quantity': 2}, {'name': 'm/c sun b/lotion s', 'quantity': 2}]"
2021-09-07 13:49:20.545129,1,13,420,"[{'name': 'g2 regular 1 s razors(10)', 'quantity': 3}]"
2023-11-25 16:43:36.594830,1,23,1,"[{'name': '49414', 'quantity': 1}]"
2022-09-28 12:41:31.041255,1,25,1650,"[{'name': 'body spray fascine code red 200 ml(55)', 'quantity': 3}]"
2022-09-03 21:05:07.113407,1,20,1394,"[{'name': 'farina storm regular 3*1(76)', 'quantity': 1}, {'name': 'ppv 185ml ahf-f(10)', 'quantity': 3}]"
2022-04-29 14:11:26.064301,1,7,24,"[{'name': 'vim dishwash bar hi jump lemon 200 gm(08)', 'quantity': 1}]"
2023-10-25 20:18:14.116230,1,19,1850,"[{'name': 'pampers mp small butterfly-pk(10)', 'quantity': 1}]"
2022-08-31 14:27:37.857758,1,16,2030,"[{'name': 'life style sharbat bazuri 800 ml red syrup(rmsp)(66)', 'quantity': 2}, {'name': 'olpers full cream milk powder 390x24 gm(64)', 'quantity': 2}]"
2022-03-09 20:48:01.042175,1,4,355,"[{'name': 'capri std white 75 gm', 'quantity': 2}, {'name': 'divine foods red lobia 500 gm(137)(p)', 'quantity': 1}]"
2022-02-03 14:54:31.155678,1,4,1808,"[{'name': 'vim dishwash bar hi jump lemon 200 gm(08)', 'quantity': 2}, {'name': 'shama c/ oil 5 ltr tin', 'quantity': 2}]"
2023-03-08 15:01:14.345285,1,14,29,"[{'name': '50 50 biscuits family pack 111gm', 'quantity': 1}]"
2021-01-03 14:44:39.761534,1,12,525,"[{'name': 'kilite fabric bleach 1100 ml saf ent(24)', 'quantity': 3}]"
2023-05-22 15:31:54.441041,1,11,572,"[{'name': '(wrong code) pantene pv 185ml ahf(10)', 'quantity': 2}, {'name': 'pink himalayan salt 900 gm (36)', 'quantity': 2}]"
2022-02-27 15:07:56.970519,1,25,534,"[{'name': 'mango pickle 1000 gms (mitch.)deleted code', 'quantity': 3}]"
2021-08-25 21:29:37.930248,1,22,384,"[{'name': 'colgate herbal t/ paste 100 gm(05)', 'quantity': 2}]"
2021-06-09 18:38:33.066214,1,7,200,"[{'name': 'dawn french heart 100 gm (94)', 'quantity': 2}]"
2023-01-05 13:35:25.999991,1,34,84,"[{'name': 'steel scourer 14 gm', 'quantity': 3}]"
2023-11-23 17:02:33.220527,1,3,474,"[{'name': 'cobra coils (rose) jumbo', 'quantity': 3}, {'name': 'honey jar st', 'quantity': 3}]"
2023-09-21 08:00:36.694796,1,21,259,"[{'name': 'sunridge suji (500 gms)', 'quantity': 2}, {'name': 'chocorama chlt chip cokies', 'quantity': 1}]"
2023-01-16 13:02:06.167991,1,23,301,"[{'name': 'pakola lemon syrups 800 ml red syrup(rmsp)', 'quantity': 1}]"
2022-10-28 21:58:53.713452,1,34,353,"[{'name': 'wiper s 1122', 'quantity': 2}, {'name': 'kitchen knifesuperior handle', 'quantity': 1}]"
2021-09-07 12:01:21.988172,1,12,41,"[{'name': 'sun glasses', 'quantity': 1}, {'name': 'eagle bleach 500 ml', 'quantity': 1}]"
2021-08-21 11:00:47.804619,1,20,716,"[{'name': 'rafhans custard vanilla pdr 275 gms pch ', 'quantity': 2}, {'name': 'national garlic paste 300 gm(56)', 'quantity': 3}]"
2023-12-08 14:22:49.981488,1,25,522,"[{'name': 'expres ultra 1000 g b/p', 'quantity': 1}, {'name': 'shangril free vineger 300m', 'quantity': 2}]"
2023-06-03 10:13:23.128863,1,1,280,"[{'name': 'shafay kalwanji 100 gm (2a)', 'quantity': 2}]"
2023-04-16 16:37:08.649910,1,18,148,"[{'name': 'shangrilla garlic chilli sauce 475 gm sap soya sauce 120 ml (26)', 'quantity': 1}]"
2023-05-28 17:49:36.280594,1,20,288,"[{'name': 'shangrilla smile mango fruit drink 500 ml(26)', 'quantity': 2}, {'name': 'milk uht 1000 ml(64)', 'quantity': 1}]"
2023-02-05 13:41:57.219264,1,10,1150,"[{'name': 'portable solar light-s20', 'quantity': 1}]"
2023-09-03 11:46:14.106120,1,24,2943,"[{'name': 'shama c/ oil 1 ltr pouch', 'quantity': 3}, {'name': 'vigo baby economy m 44 pcs', 'quantity': 3}]"
2021-01-31 11:22:59.437755,1,4,654,"[{'name': 'diamond maxwell lemon 1000 ml cleaner', 'quantity': 3}]"
2023-12-08 16:45:51.301339,1,17,930,"[{'name': '(wrong code) ariel downy 1 kg(10)', 'quantity': 3}]"
2023-12-08 09:49:31.707690,1,14,146,"[{'name': 'treet blades classic 10,s(59)', 'quantity': 2}]"
2022-03-25 10:45:58.298335,1,24,945,"[{'name': 'maan c/ oil 1x5 ltr pouch ', 'quantity': 3}]"
2022-06-23 11:42:28.920082,1,24,1410,"[{'name': 'iqra food garam masala whole 100gm (39)', 'quantity': 2}, {'name': 'sundas super basmati rice 1kg', 'quantity': 3}]"
2022-01-21 13:43:34.271966,1,21,830,"[{'name': 'agro pak garam masala powder 100 gm(92)', 'quantity': 2}, {'name': 'marhaba toot siah 120 ml', 'quantity': 2}]"
2021-02-17 19:04:17.489162,1,11,354,"[{'name': 'forhans vanishingcream l100ml', 'quantity': 3}]"
2021-06-01 17:17:30.968649,1,17,255,"[{'name': 'euro delux beauty soap cucumber 115 gms(93)', 'quantity': 3}, {'name': 'tang musami pouch 25 gm', 'quantity': 3}]"
2023-02-22 10:01:51.179656,1,35,37,"[{'name': 'khas khatai t/p', 'quantity': 3}, {'name': 'tops mix fruit 250 ml', 'quantity': 1}]"
2023-12-05 12:37:10.967017,1,14,218,"[{'name': 'shoe brush brown s/s ravi', 'quantity': 1}, {'name': 'dettol soap  original 160 gm(04)', 'quantity': 1}]"
2022-11-07 12:52:41.638002,1,34,890,"[{'name': 'pantene shampoo breakage defence 375 ml(55)', 'quantity': 1}]"
2021-12-20 17:37:16.093979,1,15,69,"[{'name': 'shangrilla smile lychee flavored drink 250 ml(26)', 'quantity': 1}]"
2021-09-11 11:07:56.964377,1,15,571,"[{'name': 'tyfon zabardast white phenyle 3 ltr btl.', 'quantity': 1}, {'name': 'nescafe chilled late per 12x220 ml pak(57)', 'quantity': 2}]"
2022-11-21 17:44:52.903682,1,7,580,"[{'name': 'mitchell chilli garlic sauce 250 gm', 'quantity': 1}, {'name': 'utility rahat-e-jan (red syrup) 750 ml (ob-v)', 'quantity': 3}]"
2021-04-19 08:22:32.689090,1,25,1252,"[{'name': 'glint glass cleaner lavender 500ml(59)', 'quantity': 1}, {'name': 'hayat banaspati ghee 1kg (sub) (rmgh)', 'quantity': 2}]"
2021-03-17 16:31:40.243256,1,13,108,"[{'name': 'shan aaloo gosht 50 gm (62)', 'quantity': 1}]"
2022-02-23 09:04:16.992271,1,16,392,"[{'name': 'moveeta luxs/t144p', 'quantity': 1}, {'name': 'pakora poni m', 'quantity': 1}]"
2023-11-23 11:19:59.929450,1,12,145,"[{'name': 'cajun spaghetti 250 gm(59)', 'quantity': 1}, {'name': 'linkus nova oranges s/f 96,s(75)', 'quantity': 1}]"
2022-04-03 19:16:00.032234,1,7,775,"[{'name': 'gillet razor set fusion', 'quantity': 1}]"
2022-09-09 12:44:28.718509,1,35,725,"[{'name': 'canolive premium c/ oil 1 x 5  ltr pp ctn(rmol)(1a)', 'quantity': 1}, {'name': 'lifebuoy hand wash total 200 ml(08)', 'quantity': 1}]"
2022-09-25 10:19:21.076961,1,18,3673,"[{'name': 'usc green aallaichi 15 gm (ob-s)(rmob)', 'quantity': 2}, {'name': 'eva canola oil 10 ltr jery can (for id,ad pr zone)', 'quantity': 1}]"
2023-05-17 16:56:28.231211,1,12,537,"[{'name': 'sensodyne fluroide 30 gm(59)', 'quantity': 2}, {'name': 'rlx lotion 200 ml cocoa moisture 200 ml(55)', 'quantity': 1}]"
2022-10-13 09:19:45.750083,1,7,195,"[{'name': 'nutivita c/corn flakes 460 gm', 'quantity': 1}]"
2022-12-05 11:07:50.883053,1,4,314,"[{'name': 'soda white t/pastegiant 135 gm (41)', 'quantity': 1}]"
2022-01-05 09:01:26.430540,1,12,387,"[{'name': 'bonus tristar detergent  400 gm (05)', 'quantity': 2}, {'name': 'life buoy care hand wash 140 ml', 'quantity': 3}]"
2023-05-31 12:24:08.264163,1,14,1184,"[{'name': 'nutri  fun cracker  100gm100 gm (1w)', 'quantity': 3}, {'name': 'h/d s/cleanr 1.5 ltr', 'quantity': 2}]"
2022-06-04 09:58:43.522784,1,7,52,"[{'name': 'national jelly crystal p/apple8(56)', 'quantity': 1}]"
2023-10-11 16:45:08.222354,1,10,1994,"[{'name': 'mach3 turbo cart 2-n(10)', 'quantity': 2}]"
2021-10-18 18:58:11.557754,1,10,470,"[{'name': 'cocomo standup pouch milk(59)', 'quantity': 3}, {'name': 'benz toilet cleaner 550 ml(17)', 'quantity': 2}]"
