,name,price,Sale Price,Category
136,joy snacks (racket color) 200 gm (39),125,112,Spices
137,kisan white ka/msla 50gm,42,39,Spices
138,eco red chilli powder 100gm (88),110,99,Spices
139,shan korma masala 25gm(62),19,18,Spices
140,mehran biryani 90 gm(67),245,220,Spices
141,national chat masala 50 gm(56),90,85,Spices
142,shafay sher khorma 150 gm (2a),85,80,Spices
143,phoool karachi gosht masala 50 gm(73),85,80,Spices
144,shafay dhania whole 100 gm (2a),100,95,Spices
145,marvel clove 25g (63),65,61,Spices
146,swaad black papper powder 25 gm  (70),98,93,Spices
147,shan easy cook haleem mix 300 gm (62),347,312,Spices
148,marvel red chilli darla 100 gm (63),125,112,Spices
149,swaad kofta masala 50 gm  (70),117,105,Spices
150,national garlic pdr 50 gm(56),115,103,Spices
151,swaad shahi salan masala jar 500 gm  (70),447,402,Spices
152,nutri tez pata 50gm (1w),70,66,Spices
153,mehran fish biryani 100 gm(67),245,220,Spices
154,marvel dhai pulkian 200 gm (63),175,157,Spices
155,best zeera white 200 gm(38),890,756,Spices
156,eco garam masala whole 100gm (88),265,238,Spices
157,shafay ajwain 100 gm (2a),60,57,Spices
158,parizad zeera 100 gm,285,256,Spices
159,national paya masala 39 gm(56),120,108,Spices
160,eco sour pomegranate seed 50gm (88),70,66,Spices
161,jazaa coriander powder 100 gm (1q),150,135,Spices
162,marvel tumeric powder haldi 200 gm (63),165,148,Spices
163,iqra cinnamon stick 50 gm (39),80,76,Spices
164,national chillies pdr 200 gm(56),365,328,Spices
165,lucknowi biryani masala 120 gm (36),106,95,Spices
166,iqra black chana roasted 200 gm (39),185,166,Spices
167,eco red chilli powder 50gm (88),60,57,Spices
168,garam masala powder 25 gm (36),78,74,Spices
169,mardan chapli kabab 50 gm (36),96,91,Spices
170,phool roast masala 50 gm(73),85,80,Spices
171,swaad shahi salan masala jar 250 gm  (70),246,221,Spices
172,national haleem masala 43 gm(56),120,108,Spices
173,meh-chicken broast 130gm (67),128,115,Spices
174,mehran chicken  masala 50 gm(67),128,115,Spices
175,marvel jalwatri 25 gm (63),97,92,Spices
176,agro pak red chilli powder 100 gm(92),115,103,Spices
177,jazaa special tikka 50 gm (1q),105,94,Spices
178,bonus tristar detergent  400 gm (05),51,48,Powders
179,colgate slim soft trush(05),178,160,Tooth Brushes
180,colgate tooth brush premier clean medium cp triple pack save rs.50 (05),178,160,Tooth Brushes
181,trista trim t brush,30,28,Tooth Brushes
182,rlx t bursh expert plus soft(55),136,122,Tooth Brushes
183,col zig zag t/b flexable med(05),64,60,Tooth Brushes
184,kombat klear t brush aka(59),100,95,Tooth Brushes
185,shield sensation blistert brush(53),105,94,Tooth Brushes
186,kure toothbrush bacteria guard bristles  medium,53,50,Tooth Brushes
187,ezigrip kombat tooth brush (aka)(59),90,85,Tooth Brushes
188,t brush fo adults deep clean,47,44,Tooth Brushes
189,medicam double protection- tooth brush(rs.80/-)(09),80,76,Tooth Brushes
190,english  tooth brush pro whitening expert medium (41),62,58,Tooth Brushes
191,english regular mint toothpaste brush pack 65 gms (sarwana)(41),148,133,Tooth Brushes
192,english tooth brush zigzag better night sleep hard(41),90,85,Tooth Brushes
193,colgate tooth brush zigzag s0ft cp triple pack save rs.65(05),219,197,Tooth Brushes
194,colgate t brush superstar-s-local(05),40,38,Tooth Brushes
195,shield angular blister t brush(53),38,36,Tooth Brushes
196,expert xtra care tooth brush,62,58,Tooth Brushes
197,kure toothbrush deep reach black soft(41),97,92,Tooth Brushes
198,colgate tooth brush premier clean soft cp triple pack save rs.50 (05),178,160,Tooth Brushes
199,shield dualpro blister t brush(53),249,224,Tooth Brushes
200,garnier c/natrls  nude m,425,382,Garnier
201,garnier men  power  white foam100ml(79),1026,820,Garnier
202,garnier colors natural 2 soft black(79),425,382,Garnier
203,garnier c/natrls  creamy coffee(79),425,382,Garnier
204,garnier c/natrls  dark blonde(79),425,382,Garnier
205,garnier men oil clear fw 50 ml(79),443,398,Garnier
206,garnier skin naturalsscrub 100 ml(79),286,257,Garnier
207,garnier power powr dble f/wash50 ml(79),185,166,Garnier
208,atta (cong),890,756,Commodity Atta
209,atta (cong),1780,1424,Commodity Atta
210,atta bag 10kg (local purchase),747,634,Commodity Atta
211,atta bag 20kg (sub) (rmat),1535,1228,Commodity Atta
212,atta 20 kg bag  (cong) al-mumtaz fm,1780,1424,Commodity Atta
213,sunridge suji (500 gms),115,103,Commodity Atta
214,sunridge fiber fit digestive atta (2 kg),265,238,Commodity Atta
215,sunridge super white atta (10 kg),1290,1032,Commodity Atta
216,rlx petrolium jelly olive oil 100 ml(55),285,256,Hair Oil/Color/Gel
217,marhaba kalongi oil 50 ml,155,139,Hair Oil/Color/Gel
218,kolestone 2000 306/5,179,161,Hair Oil/Color/Gel
219,shampoo pert plus with olive oil 200 ml(55),415,373,Hair Oil/Color/Gel
220,marhaba amla hair oil 100 ml,94,89,Hair Oil/Color/Gel
221,"forhan,s anti dandruff herbal hair oil 100 ml",143,128,Hair Oil/Color/Gel
222,life style olive oil 100(66),320,288,Hair Oil/Color/Gel
223,dabur vatika h/oil150ml,135,121,Hair Oil/Color/Gel
224,italiano hair colour d/brown(09),212,190,Hair Oil/Color/Gel
225,life/s mustard oil 200 ml (66),270,243,Hair Oil/Color/Gel
226,vatika hair oil 100ml  garlic(55),365,328,Hair Oil/Color/Gel
227,dabur vatika h/oil 100 ml,123,110,Hair Oil/Color/Gel
228,dabur amla h/oil 300ml,285,256,Hair Oil/Color/Gel
229,bio amla hair oil mini(31),53,50,Hair Oil/Color/Gel
230,kala cola h/tonic f/s,258,232,Hair Oil/Color/Gel
231,dabur coconut oil 100 ml (asian consumer),48,45,Hair Oil/Color/Gel
232,utility tomato ketchup 1kg (ob-v),84,79,Food
233,utility rahat-e-jan (red syrup) 750 ml (ob-v),150,135,Food
234,sa ginger 1 kg (lp)(shk),800,680,Fresh Vegetables
235,ls cucumber premium 1 kg (lp)(l-s),130,117,Fresh Vegetables
236,ls onion small 1 kg (lp)(f-n),110,99,Fresh Vegetables
237,gul onion 1 kg (lp)(khl),128,115,Fresh Vegetables
238,ls onion premium 1 kg (lp)(sl),175,157,Fresh Vegetables
239,ls potato premium 1 kg (lp)(guj),180,162,Fresh Vegetables
240,st potato 1 kg (lp)(lyh),130,117,Fresh Vegetables
241,insaf garlic 1 kg (lp)(bkr),605,514,Fresh Vegetables
242,ls green chilli 250 gm (lp)(f-s),198,178,Fresh Vegetables
243,gf ginger 1 kg (lp)(oka),920,782,Fresh Vegetables
244,gf tamato 1 kg (lp)(oka),140,126,Fresh Vegetables
245,ls green chilli 1 kg (lp)(f-s),202,181,Fresh Vegetables
246,ls ginger 1 kg (lp) (khb),579,492,Fresh Vegetables
247,sa onion 1 kg (lp)(shk),125,112,Fresh Vegetables
248,ls garlic 1 kg (lp)(f-s),576,489,Fresh Vegetables
249,ls potato white 1 kg (lp)(f-s),138,124,Fresh Vegetables
250,ut green chilli premium 1 kg (lp)(skt),440,396,Fresh Vegetables
251,am onion 1 kg (lp)(dgk),161,144,Fresh Vegetables
252,ls egg per pcs (lp)(mbd),27,26,Fresh Vegetables
253,ut garlic premium 1 kg (lp)(skt),975,828,Fresh Vegetables
254,ls garlic 1 kg (lp)(f-n),659,560,Fresh Vegetables
255,ls ginger premium 1 kg (lp)(sl),900,765,Fresh Vegetables
256,ls cucumber 1 kg (lp)(tts),77,73,Fresh Vegetables
257,islamabad green tea hp 80 gm(40),88,83,Green Tea
258,tapal lemon green tea bag 45 gm(37),250,225,Green Tea
259,lipton yellow green tea bag mint 25 s (16),129,116,Green Tea
260,tapal family mix 475 gms pouch rs 50 off(37),435,391,Green Tea
261,lipton gt pure classic tea bag (32.5 gm) (16),300,270,Green Tea
262,raaz green tea mint 100 gm(42),156,140,Green Tea
263,tapal lemon green tea bag 45 gm rs-20/off(37),109,98,Green Tea
264,lipton green tea pineapple 100x25s (16),300,270,Green Tea
265,sultan ollive leaf 50 gm,280,252,Green Tea
266,camelia ginseng green tea 30 pcs(59),97,92,Green Tea
267,shafay lemon grass 100 gm (2a),70,66,Green Tea
268,pak super dust tea 875 gm(rmbt)(1b),1332,1065,Green Tea
269,lipton yl blk kpk 400 gm (rmbt) (16),651,553,Tea
270,pakpal chai patti 80 gm tea soft pack(rmbt)(52),160,144,Tea
271,mezan tea ultra rich pouch 460 gm(rmbt)(68),777,660,Tea
272,commander lajawab black tea 12 gm(54),10,9,Tea
273,perl dust blck tea ph n22 pi06 400 gm (rmbt) (16),692,588,Tea
274,mezan tea hardum mixture 910 gm pouch(rmbt)(68),1604,1283,Tea
275,mezan ultra rich tea hard 90 gm(rmbt)(68),149,134,Tea
276,kohinoor josh 900 gm(rmbt),1609,1287,Tea
277,tapal st 45 gm t/bag(37),250,225,Tea
278,qamar tea 430 gm pch(ylw) (rmbt)(2b),850,722,Tea
279,lipton yellow label tea 900 gm(rmbt) (16),1755,1404,Tea
280,pakpal chaipatti 425 gm tea jar pack(rmbt)(52),760,646,Tea
281,islamabad tea super dana pouch 170 gm(rmbt)(40),342,307,Tea
282,lipton yellow lable tea 85 gm(rmbt) (16),201,180,Tea
283,kohinoor tez mixture 170 gm(rmbt),331,297,Tea
284,dastoor chai dana 430 gm (tea)(rmbt)(03),820,697,Tea
285,chai patti craft paper pack 250 gm(rmbt),350,315,Tea
286,tapal family mixture tea 950 gm pouch rs-50/off(37),870,739,Tea
287,dawn dust tea 350 gm(36),497,447,Tea
288,islamabad tea super dana 14 gm(40),20,19,Tea
289,qamar tea 100 gm pch (ylw)(rmbt)(2b),190,171,Tea
290,supreme tea 160 gm(rmbt)(16),285,256,Tea
291,bettani tea 25 gm (rmbt) (1e),50,47,Tea
292,lipton yellow lable tea kpk 950 gm(rmbt) (16),1555,1244,Tea
293,chai patti craft paper pack 125 gm(rmbt),175,157,Tea
294,qamar tea 20 gm  hp(ylw) (rmbt) (2b),48,45,Tea
295,raaz tea 190 gm pouch(rmbt)(42),185,166,Tea
296,tapal tezdum 190 gm rs-10/off(37),190,171,Tea
297,supreme mix bt pi1123 160 gm (rmbt) (16),300,270,Tea
298,lipton yl blk dane 70 gm (rmbt) (16),162,145,Tea
299,vital tea 170 gm(rmbt)(36),365,328,Tea
300,tapal tezdum 900 gm pch(rmbt)(37),1680,1344,Tea
301,chai shai  170 gm tea hp box(rmbt)(03),335,301,Tea
302,nestle everyday mixed tea 30 gm(57),20,19,Tea
303,lipton yellow lable 190 gm  (rs 20/- off) (16),208,187,Tea
304,mezan tea ultra rich 475 gm(68),412,370,Tea
305,mezan tea ultra rich 475 gm(68),434,390,Tea
306,tapal chenak tea 45 gm soft pack(rmbt)(37),70,66,Tea
307,tapal danedar tea 900 gm(rmbt)(37),1720,1376,Tea
308,tapal danedar tea elaichi 80 gm hp(rmbt)(37),220,198,Tea
309,lipton y/l 475 gm,440,396,Tea
310,supreme blk tea dane 170 gm pkt (16)(rmbt),298,268,Tea
311,islamabad tea 430 gm(rmbt)(40),835,709,Tea
312,lipton yellow lable dane 140 gm pkt (16)(rmbt),300,270,Tea
313,divine tea box 20 gm (1v),20,19,Tea
314,supreme black tea 50 gm (16),40,38,Tea
315,divine tea  black jar 440 gm(rmbt) (1v),636,540,Tea
316,lipton yellow lable tea 430 gm(rmbt) (16),882,749,Tea
317,commander lajawab black tea 425 gm jar(rmbt)(54),827,702,Tea
318,soya supreme oil 1x5 ltr p/b (for all usc zone except ki),319,287,Cooking Oil
319,andaaz oil 5 ltr tin,1050,840,Cooking Oil
320,shama c/ oil 3 ltr btl,540,459,Cooking Oil
321,mezan cooking oil 10 ltr can(rmol)(85),4730,3784,Cooking Oil
322,planta cooking oil 4.5 ltr btl(rmol),2485,1988,Cooking Oil
323,eva sunflower oil 4.5 ltr btl old code,774,657,Cooking Oil
324,eva sunflower oil 4.5 ltr btl old code,778,661,Cooking Oil
325,sufi sunflower oil 1x5 pkt,218,196,Cooking Oil
326,sufi can/ c/oil 3 ltr btl,685,582,Cooking Oil
327,dalda cooking oil 2.5 ltr tin (for all usc zone except karachi) (old code)(1c),910,773,Cooking Oil
328,kashmir canola oil 4.5 ltr btl (rmol),2760,2208,Cooking Oil
329,kisan c/oil 1 ltr,159,143,Cooking Oil
330,kashmir premium gold 4.5 ltr btl (rmol),2295,1836,Cooking Oil
331,"malta cooking oil 1x5 ltr pouch (for sr,mn,id,pr,sa zone)(old code)",175,157,Cooking Oil
332,dalda fort can/ c/ oil 1x5 ltr (old code)(1c),354,318,Cooking Oil
333,maan cooking oil 1x5 ltr pouch,315,283,Cooking Oil
334,soya supreme oil 1 ltr btl(rmol)(58),560,476,Cooking Oil
335,sufi canola c/oil5 ltr,835,709,Cooking Oil
336,meezan olive oil 4.5 ltr (rmol)(85),2640,2112,Cooking Oil
337,maan cooking oil 3 ltr btl(rmol)(15),1575,1260,Cooking Oil
338,mezan cooking oil (1x5)ltr pkt (for usc id/ad/pr/qa zone old code(85),330,297,Cooking Oil
339,dil dil cooking oil 2.5 ltr tin,550,467,Cooking Oil
340,super habib cooking oil 4.5 ltr btl(rmol)(87),2360,1888,Cooking Oil
341,kisan s/f oil 2.5ltr,424,381,Cooking Oil
342,dalda (fortified) canola cooking oil 1x5 ltr pouch (for all zone except ki zone) (old code)(1c),355,319,Cooking Oil
343,eva cooking oil 1ltr pillow(rmol)(15),515,437,Cooking Oil
344,kisan can/ 1*10 ltr,159,143,Cooking Oil
345,eva cooking oil 5 ltr btl (for karachi zone),1750,1400,Cooking Oil
346,mezan cooking oil 4.5 ltr can (rmol)(85),1515,1212,Cooking Oil
347,kisan can/ oil 10 ltr can,1665,1332,Cooking Oil
348,planta c/ oil 4.5 ltr botle (old code),1665,1332,Cooking Oil
349,eva cooking oil 5 ltr tin (for id/pr/ad zone) old code,1700,1360,Cooking Oil
350,kisan sunflower oil 10 ltr tin,1730,1384,Cooking Oil
351,dastak c/ oil 3 ltr pet (1g),680,578,Cooking Oil
352,dastak can/ oil 3 ltr pet (1g),680,578,Cooking Oil
353,mezan cooking oil 1x5 ltr pkt (for ki/sr zone) old code(85),330,297,Cooking Oil
354,sufi sunflower oil 5 ltr tin,1110,888,Cooking Oil
355,habib oil cooking oil 10 ltr tin,3405,2724,Cooking Oil
356,rafhan corn oil 10 ltr tin,11898,8328,Cooking Oil
357,soya supreme oil 5 ltr btl(rmol)(58),2730,2184,Cooking Oil
358,handi cooking oil 2.5 ltr tin (for karachi zone),390,351,Cooking Oil
359,kisan can/ oil 10 ltr,1660,1328,Cooking Oil
360,shama cooking  oil 1 ltr pouch (rmol)(1f),470,423,Cooking Oil
361,dalda fort sunflower c/ oil 1x5 ltr (old code)(1c),361,324,Cooking Oil
362,soya supreme oil 3 ltr btl  (for ki zone),799,679,Cooking Oil
363,kisan corn oil 2ltr,490,441,Cooking Oil
364,canolive premium c/ oil 1 x 5  ltr pp ctn(rmol)(1a),550,467,Cooking Oil
365,"eva canola oil 10 ltr jery can (for id,ad pr zone)",3435,2748,Cooking Oil
366,dalda canola oil 16 ltr jerry can (for all usc zone except karachi) (old code)(1c),5760,4031,Cooking Oil
367,shama c/ oil 5 ltr btl,890,756,Cooking Oil
368,barkat cooking oil 5 ltr,837,711,Cooking Oil
369,kisan c/ oil 1x5 ltr dienser,159,143,Cooking Oil
370,kisan c/ oil 1x5 ltr dienser,158,142,Cooking Oil
371,planta c/oil 2.5 ltr tin,465,418,Cooking Oil
372,planta c/oil 2.5 ltr tin,462,415,Cooking Oil
373,golden sun c/oil c/ oil 3 ltr btl,575,488,Cooking Oil
374,golden sun cooking  oil 1ltr (rmol),495,445,Cooking Oil
375,kashmir can/ 5 ltr tin(48),872,741,Cooking Oil
376,kashmir premium gold 5ltr btl(48),965,820,Cooking Oil
377,dalda (fortified) cooking oil 1 ltr pouch(rmol)(1c),535,454,Cooking Oil
378,sufi sunflower oil 2.5ltr,450,405,Cooking Oil
379,manpasand cooking oil 1 liter (old code),338,304,Cooking Oil
380,eva canola oil (1x5) ltr stand pch (for karachi zone),347,312,Cooking Oil
381,kisan sunflower oil 1,159,143,Cooking Oil
382,naturelle cooking oil 3 ltr btl(rmol)(1a),1560,1248,Cooking Oil
383,eva canola oil 3 ltr btl (for sr/le/mn/sa/qa zone),1032,825,Cooking Oil
384,golden sun cooking oil 3ltr (rmol),1535,1228,Cooking Oil
385,kushboo c/ oil 5 ltr tin (1h),1015,812,Cooking Oil
386,dalda cooking oil 3 ltr ept btl (old code)(1c),1112,889,Cooking Oil
387,eva cooking oil (1x5) ltr pillow pouch (for karachi zone),335,301,Cooking Oil
388,manpadand c/ oil 1 ltr  (old code),338,304,Cooking Oil
389,super habib  c/oil 5ltr btl,341,306,Cooking Oil
390,eva canola oil 10 ltr jery can (for karachi zone),3435,2748,Cooking Oil
391,eva sunflower oil 1x5 ltrp/pouch old code,340,306,Cooking Oil
392,dastak c/ oil 1x12 pch (1g),230,207,Cooking Oil
393,shama c/ oil 1 ltr pouch,166,149,Cooking Oil
394,dastak c/ oil 5 ltr pet (1g),1120,896,Cooking Oil
395,soya olive oil 1 ltr btl(rmol)(58),592,503,Cooking Oil
396,golden sun cooking oil 1 liter,175,157,Cooking Oil
397,sufi canola oil 2.5ltr,421,378,Cooking Oil
398,eva canola oil 4.5 ltr btl (for sr/le/mn/sa/qa zone) old code,774,657,Cooking Oil
399,"eva canola oil 10 ltr jery can (for sa,sr,le,mn,qa zone)",3435,2748,Cooking Oil
400,sufi sunflower oil 10 ltr,2210,1768,Cooking Oil
401,planta (fortified) cooking oil 1 ltr pouch(rmol)(1c),535,454,Cooking Oil
402,habib c/ oil 5 ltr tin,1698,1358,Cooking Oil
403,mezan canola oil 1 ltr doy pack(rmol),478,430,Cooking Oil
404,sufi sunflower oil 3 ltr btl,690,586,Cooking Oil
405,kisan sunflower 5-l tin,827,702,Cooking Oil
406,super habib canola oil 5 ltr btl,1126,900,Cooking Oil
407,mezan cooking oil 1 ltr btl (for ki/sr zone)old code,330,297,Cooking Oil
408,mezan cooking oil 1x10 ltr pkt old code,257,231,Cooking Oil
409,mezan ghee 16 kg bkt,2380,1904,Ghee
410,aghaz banaspati 1*16 kg (for ki zone),175,157,Ghee
411,hayat banaspati ghee 1kg (sub) (rmgh),440,396,Ghee
412,shama ghee 2.5 kg tin(pg) (1f),520,442,Ghee
413,manpasand ghee 2.5 kg pouch(pg),1205,964,Ghee
414,golden sun ghee 2.5 kg,432,388,Ghee
415,golden sun ghee 2.5 kg,435,391,Ghee
416,dil dil banaspati (1x5) kg pouch (for id/ad/pr/qa zones only)old code(85),261,234,Ghee
417,soya supreme banaspati 2.5 kg tin (for ki zone),647,549,Ghee
418,zaiqa b/pati 10kg (1a)(pg),1877,1501,Ghee
419,kisan ghee 10 kg tin,1515,1212,Ghee
420,kisan ghee 10 kg tin,1495,1196,Ghee
421,kisan ghee 10 kg tin,1557,1245,Ghee
422,eva vegetable banaspati  5kg bkt(pg),1255,1004,Ghee
423,barkat banaspati 1x5 kg (for islamabad zone),340,306,Ghee
424,habib ghee 1kg pouch,338,304,Ghee
425,aghaaz ghee 1x5 1kg (for ad/pr zone),179,161,Ghee
426,dalda ghee 2.5 kg tin  only (old code)(1c),907,770,Ghee
427,"dil dil banaspati (1x16) kg pouch (for mn,sa,le zone)old code(85)",261,234,Ghee
428,kisan ghee 5kg tin,770,654,Ghee
429,dil dil banaspati ghee 1kg (sub)(85),400,360,Ghee
430,dastak ghee 1kg (sub)(rmgh)(1g),450,405,Ghee
431,aghaaz banaspati 1 kg (for mn/qa/sr zone),177,159,Ghee
432,mezan ghee 1x10 kg old code,258,232,Ghee
433,aghaaz banaspati 1*5 kg (for mn/qa/sr zone),177,159,Ghee
434,kisan ghee 2.5kg bkt,389,350,Ghee
435,kisan ghee 2.5kg bkt,384,345,Ghee
436,manpasand ghee 1 kg pouch (old code),340,306,Ghee
437,habib  ghee 10kg tin(pg)(87),3420,2736,Ghee
438,dil dil banaspati 5 kg bkt,1075,860,Ghee
439,habib ghee 2.5 kg tin,855,726,Ghee
440,mezan ghee 2.5 kg bkt(pg)(85),1126,900,Ghee
441,golden sun b/pati 1kg(pg),160,144,Ghee
442,pakpure desi ghee 1/2 kg(49),726,617,Ghee
443,dalda (fortified) banaspati 1 kg pouch(pg)(1c),535,454,Ghee
444,manpasand ghee 2.5 kg tin (old code),865,735,Ghee
445,kashmir ghee 10 kg bkt(48)(pg),4900,3920,Ghee
446,anmol banaspati ghee 1 kg pch,117,105,Ghee
447,aghaaz ghee 1 kg (for le/sa zone),178,160,Ghee
